e6865bd0-1618-11e6-ae54-af164fc5b0b2,2,5000,2016-05-09 19:16:08.969-07,2016-05-09 19:16:08.969-07
e6865bd0-1618-11e6-ae54-af164fc5b0b3,3,6000,2016-05-09 19:16:08.969-07,2016-05-09 19:16:08.969-07
e6865bd0-1618-11e6-ae54-af164fc5b0b4,4,10000,2016-05-09 19:16:08.969-07,2016-05-09 19:16:08.969-07
e6865bd0-1618-11e6-ae54-af164fc5b0b5,5,15000,2016-05-09 19:16:08.969-07,2016-05-09 19:16:08.969-07
e6865bd0-1618-11e6-ae54-af164fc5b0b6,6,5000,2016-05-09 19:16:08.969-07,2016-05-09 19:16:08.969-07
e6865bd0-1618-11e6-ae54-af164fc5b0b7,7,6000,2016-05-09 19:16:08.969-07,2016-05-09 19:16:08.969-07
e6865bd0-1618-11e6-ae54-af164fc5b0b8,8,8000,2016-05-09 19:16:08.969-07,2016-05-09 19:16:08.969-07
e6865bd0-1618-11e6-ae54-af164fc5b0b9,9,9000,2016-05-09 19:16:08.969-07,2016-05-09 19:16:08.969-07
e6865bd0-1618-11e6-ae54-af164fc5b0c1,10,60000,2016-05-09 19:16:08.969-07,2016-05-09 19:16:08.969-07
e6865bd0-1618-11e6-ae54-af164fc5b0c2,11,1000000,2016-05-09 19:16:08.969-07,2016-05-09 19:16:08.969-07
e6865bd0-1618-11e6-ae54-af164fc5b0c3,12,67000,2016-05-09 19:16:08.969-07,2016-05-09 19:16:08.969-07
